NA;Wavelength_nm;Distance (m);Lval_um;Zone calcul;RoC_mm;FinalPower;db/m;PowerAfterInsertion
0.0779;1060;0.01;55;38.89087297;27.5;0.999482713;0.224712942;1
;;;;;;0.230673857;;
