NA,Wavelength_nm,Distance (m),Lval_um,Zone calcul,RoC_mm,FinalPower,db/m,PowerAfterInsertion
0.0779,1060,0.01,55,38.8908729652601,27.5,0.999648218369279,0.237084705898082,0.999921113446103
0.0779,1060,0.01,85,60.1040764008565,27.5,0.999967196240381,0.0225200764957659,0.999993122922189
