Wavelength_nm;FinalRelativePower;a
900;0.99998609;0.0060453
922.2222222;0.999975156;0.010803231
944.4444444;0.999962925;0.016131554
966.6666667;0.999944431;0.024200531
988.8888889;0.999914939;0.037099461
1011.111111;0.99987244;0.055755014
1033.333333;0.999812351;0.082269074
1055.555556;0.999728182;0.119682961
1077.777778;0.999611392;0.172137267
1100;0.999452922;0.244339147
