Wavelength_nm;FinalRelativePower;
1110;0.999607425;0.173929751
1158.333333;0.999208406;0.35815531
1206.666667;0.998487001;0.712457575
1255;0.997246888;1.398484732
1303.333333;0.995213024;2.829102767
1351.666667;0.992017656;6.951528523
1400;0.987199849;#NOMBRE!
