Wavelength_nm;FinalRelativePower;
1110;0.999823686;0.077255369
1158.333333;0.99963334;0.162231106
1206.666667;0.999278532;0.32520727
1255;0.998648028;0.630829143
1303.333333;0.997580669;1.202924906
1351.666667;0.995848495;2.329558954
1400;0.993150773;5.01582896
