Wavelength_nm,Lval_um,RoC_mm,NA,Lz_mm,FinalPower
1060,65,27.5,0.075,10,0.999583812357118
1060,65,27.5,0.075,100,0.995860317447653
1060,65,27.5,0.08,10,0.999939571863793
1060,65,27.5,0.08,100,0.999403129204092
1060,65,27.5,0.085,10,0.99998750792206
1060,65,27.5,0.085,100,0.999880221021092
