Wavelength_nm,Lval_um,RoC_mm,NA,Lz_mm,FinalPower
850,55,20,0.0779,10,0.999945586891884
870,55,20,0.0779,10,0.999916928734579
890,55,20,0.0779,10,0.999874786006137
910,55,20,0.0779,10,0.999814396581325
930,55,20,0.0779,10,0.999728418669694
950,55,20,0.0779,10,0.999606330664475
