NA;Wavelength_nm;Distance (m);Lval_um;Zone calcul;RoC_mm;FinalPower;db/m;PowerAfterInsertion
0.0779;1060;0.05;55;38.89087297;27.5;0.984069815;1.18843604;0.996262705
;;;;;;;0.244587836;
