NA;Wavelength_nm;Distance (m);Lval_um;Zone calcul;RoC_mm;FinalPower;db/m;PowerAfterInsertion
0.0779;1060;0.01;55;38.89087297;27.5;0.999648219;0.237084426;0.999921113
;;;;;;;;
;;;;;;total db/m losss;0.15552865;
